time,start_time,open,high,low,close,tick_volume,real_volume,num_time_bars,duration_seconds
2020-12-21 04:30:00,2020-12-21 00:00:00,1.22166,1.22349,1.21791,1.21894,14669,0,10,16200.0
2020-12-21 09:30:00,2020-12-21 05:00:00,1.21894,1.21995,1.2168,1.2175799999999999,13776,0,10,16200.0
2020-12-21 11:30:00,2020-12-21 10:00:00,1.2175799999999999,1.22268,1.2172,1.21753,13698,0,4,5400.0
2020-12-21 13:30:00,2020-12-21 12:00:00,1.21754,1.21813,1.21296,1.21622,16173,0,4,5400.0
2020-12-21 15:30:00,2020-12-21 14:00:00,1.21623,1.22145,1.2156500000000001,1.21906,14982,0,4,5400.0
2020-12-21 18:00:00,2020-12-21 16:00:00,1.21912,1.2224599999999999,1.21912,1.22194,14147,0,5,7200.0
2020-12-21 22:30:00,2020-12-21 18:30:00,1.22194,1.22528,1.2215799999999999,1.2232,14064,0,9,14400.0
2020-12-22 06:30:00,2020-12-21 23:00:00,1.2232,1.22498,1.22193,1.22233,13373,0,16,27000.0
2020-12-22 10:30:00,2020-12-22 07:00:00,1.22234,1.22298,1.22062,1.22217,13423,0,8,12600.0
2020-12-22 14:00:00,2020-12-22 11:00:00,1.22214,1.22573,1.22043,1.22529,15155,0,7,10800.0
2020-12-22 17:00:00,2020-12-22 14:30:00,1.22529,1.22545,1.22011,1.2208,15551,0,6,9000.0
2020-12-22 19:30:00,2020-12-22 17:30:00,1.22081,1.22113,1.21609,1.21746,14257,0,5,7200.0
2020-12-23 02:30:00,2020-12-22 20:00:00,1.21746,1.21879,1.2152,1.21631,14627,0,14,23400.0
2020-12-23 08:30:00,2020-12-23 03:00:00,1.2163,1.21919,1.2154,1.21839,13615,0,12,19800.0
2020-12-23 12:00:00,2020-12-23 09:00:00,1.21834,1.22009,1.2172,1.21867,13377,0,7,10800.0
2020-12-23 15:30:00,2020-12-23 12:30:00,1.21867,1.21976,1.21604,1.21762,14000,0,7,10800.0
2020-12-23 17:30:00,2020-12-23 16:00:00,1.21762,1.22212,1.21736,1.2184300000000001,15780,0,4,5400.0
2020-12-23 22:00:00,2020-12-23 18:00:00,1.2184300000000001,1.22035,1.21727,1.21769,13651,0,9,14400.0
2020-12-24 04:30:00,2020-12-23 22:30:00,1.21769,1.22157,1.21769,1.22111,13187,0,13,21600.0
2020-12-24 10:30:00,2020-12-24 05:00:00,1.22111,1.22156,1.21937,1.22013,13171,0,12,19800.0
