time,start_time,open,high,low,close,tick_volume,real_volume,num_time_bars,duration_seconds,raw_log_return,volatility_sigma,norm_return,norm_open,norm_high,norm_low,norm_close,norm_range,norm_body,norm_price_index,ffd_norm_price_index,ffd_d_star
2020-12-21 04:30:00,2020-12-21 00:00:00,1.22166,1.22349,1.21791,1.21894,14669,0,10,16200.0,0.0,0.0016305330178896,0.0,0.0,0.918694545440606,-1.8825707898372688,-1.3654913462286895,2.801265335277876,-1.3654913462286895,100.0,,0.34
2020-12-21 09:30:00,2020-12-21 05:00:00,1.21894,1.21995,1.2168,1.21758,13776,0,10,16200.0,-0.0011163463802795,0.0007893760956487,-1.4142135623730951,0.0,1.0496755328927287,-2.224064990484994,-1.413424479934544,3.2737405233777226,-1.413424479934544,99.7766785495872,,0.34
2020-12-21 11:30:00,2020-12-21 10:00:00,1.21758,1.22268,1.2172,1.21753,13698,0,4,5400.0,-4.1065906679248615e-05,0.0006330012830898,-0.0648749185448612,0.0,6.617105821944014,-0.4930392573210814,-0.0648735864894946,7.110145079265096,-0.0648735864894946,99.76643401418582,,0.34
2020-12-21 13:30:00,2020-12-21 12:00:00,1.21754,1.21813,1.21296,1.21622,16173,0,4,5400.0,-0.0010765280957489,0.0006216124146171,-1.7318317176983382,0.0,0.7795591872266598,-6.051493351693086,-1.744098520575273,6.831052538919746,-1.744098520575273,99.49295681006518,,0.34
2020-12-21 15:30:00,2020-12-21 14:00:00,1.21623,1.22145,1.21565,1.21906,14982,0,4,5400.0,0.0023323817281524,0.0014004369654247,1.665467126144469,0.0,3.064722985645345,-0.3405247761827003,1.6615260630989772,3.4052477618280457,1.6615260630989772,99.75595424137344,,0.34
2020-12-21 18:00:00,2020-12-21 16:00:00,1.21912,1.22246,1.21912,1.22194,14147,0,5,7200.0,0.0023596897471137,0.00157530317976,1.4979273687958583,0.0,1.739145274786407,0.0,1.468380142184998,1.739145274786407,1.468380142184998,99.9924951157596,,0.34
2020-12-21 22:30:00,2020-12-21 18:30:00,1.22194,1.22528,1.22158,1.2232,14064,0,9,14400.0,0.0010306159250821,0.0014570731333906,0.7073192837506617,0.0,1.8759239789679456,-0.2021953989307604,0.707683896257412,2.078119377898706,0.707683896257412,100.1041893976947,,0.34
2020-12-22 06:30:00,2020-12-21 23:00:00,1.2232,1.22498,1.22193,1.22233,13373,0,16,27000.0,-0.0007115022401706,0.0014151848527614,-0.5027627583649539,0.0,1.0282751924193063,-0.7336570193105085,-0.5025839423623613,1.7619322117298148,-0.5025839423623613,100.02479706870078,,0.34
2020-12-22 10:30:00,2020-12-22 07:00:00,1.22234,1.22298,1.22062,1.22217,13423,0,8,12600.0,-0.0001309061159569,0.001333341034166,-0.098179019922569,0.0,0.3926871637320457,-1.0553467525298814,-0.104307527866331,1.4480339162619271,-0.104307527866331,100.00929341231353,,0.34
2020-12-22 14:00:00,2020-12-22 11:00:00,1.22214,1.22573,1.22043,1.22529,15155,0,7,10800.0,0.0025495833967439,0.0014453421181407,1.7639999310499768,0.0,2.032370261715178,-0.9680649436025562,1.7832775276888069,3.0004352053177348,1.7832775276888069,100.28785036694286,,0.34
2020-12-22 17:00:00,2020-12-22 14:30:00,1.22529,1.22545,1.22011,1.2208,15551,0,6,9000.0,-0.0036711691252762,0.0018645915354582,-1.9688865123878263,0.0,0.0700321380222367,-2.2672904684707764,-1.9652768732497288,2.337322606493013,-1.9652768732497288,99.97693933953988,,0.34
